year,debt_closed,debt_open,primary_deficit_closed,primary_deficit_open,capital,assets,consumption_closed,consumption_open,consumption_chg_closed,consumption_chg_open,anmp,r
2089.0,2.1780408766144412,2.029494195774251,-0.011859396855442293,-0.00010185098271742056,8.910979561692773,8.985252902113068,1.4351177841692924,1.4379111640108735,-0.0028443053329398893,-5.092549135876645e-05,0.013385930945618879,0.01621911293766408
2090.0,2.179710268039265,2.0305040470715587,-0.012030086338250107,-0.00020390178317027092,8.910144865980362,8.984747976464414,1.4350374111115491,1.437860138610647,-0.002924678390683111,-0.00010195089158515636,0.013388322858744,0.016223896763914336
2091.0,2.1812312634306217,2.03141341063995,-0.012185604374044316,-0.0002957977685539209,8.909384368284684,8.984293294680219,1.4349641856646673,1.4378141906179553,-0.0029979038375649303,-0.00014789888427690911,0.013390502475031596,0.016228255996489527
2092.0,2.182617067709976,2.0322322857572304,-0.012327300723927976,-0.00037854941863562426,8.908691466145006,8.98388385712158,1.4348974712834313,1.4377728147929145,-0.0030646182188009963,-0.00018927470931773271,0.013392488630322913,0.016232228307072147
2093.0,2.1838797084515136,2.0329696766985523,-0.012456404848709511,-0.00045306666291627636,8.908060145774238,8.983515161650919,1.434836688264919,1.437735556170774,-0.0031254012373131967,-0.00022653333145816745,0.013394298490422063,0.016235848027270447
2094.0,2.185030141246597,2.033633691746598,-0.012574036667497469,-0.0005201688861311597,8.907484929376697,8.983183154126896,1.4347813086466055,1.4377020050591667,-0.003180780855626786,-0.000260084443065578,0.013395947698969346,0.016239146444365013
2095.0,2.18607834557243,2.0342316323495027,-0.012681216347951973,-0.0005805939381288101,8.90696082721378,8.982884183825442,1.4347308515667805,1.437671792533168,-0.0032312379354517695,-0.000290296969064352,0.01339745051225466,0.016242152070935642
2096.0,2.1870334120319255,2.0347700734069076,-0.012778873216394347,-0.0006350062471997997,8.906483293984033,8.98261496329674,1.4346848790446463,1.4376445863786325,-0.0032772104575859995,-0.0003175031235997938,0.013398819922118776,0.016244890890663874
2097.0,2.187903621750719,2.0352549355669467,-0.012867853867767355,-0.0006840041260688493,8.906048189124636,8.98237253221672,1.434642992141519,1.4376200874391978,-0.003319097360713341,-0.00034200206303447445,0.013400067767990187,0.01624738658240668
2098.0,2.1886965186441416,2.035691550329146,-0.01294892954802264,-0.0007281263508862859,8.905651740677925,8.98215422483562,1.4346048274682082,1.4375980263267891,-0.003357262034024089,-0.00036406317544313005,0.013401204839013997,0.01624966072445433
2099.0,2.189418975200872,2.0360847186691036,-0.01302280287480778,-0.0007678580855608278,8.90529051239956,8.981957640665641,1.4345700540069277,1.4375781604594517,-0.003392035495304535,-0.00038392904278050644,0.013402240967146054,0.016251732980718428
2100.0,2.1900772523702443,2.03643876382957,-0.013090113956260575,-0.0008036362165771121,8.904961373814874,8.981780618085407,1.4345383702190626,1.4375602713939437,-0.003423719283169646,-0.00040181810828854303,0.013403185112008303,0.016253621270442914
2101.0,2.1906770540861604,2.036757578858428,-0.013151445962228801,-0.0008358541569591265,8.904661472956917,8.981621210570978,1.4345095014127875,1.4375441624237526,-0.003452588089444708,-0.0004179270784796518,0.01340404543823287,0.01625534192289206
2102.0,2.19122357691162,2.0370446694162876,-0.013207330197261885,-0.0008648661722034832,8.904388211544187,8.981477665292049,1.4344831973469452,1.4375296564161306,-0.003478892155287072,-0.00043243308610163567,0.013404829385957578,0.016256909818341478
2103.0,2.1917215552435976,2.037303192324406,-0.013258250720216021,-0.0008909912757500979,8.904139222378198,8.98134840383799,1.4344592300497787,1.4375165938643573,-0.003502859452453544,-0.000445495637874993,0.013405543735077657,0.01625833851658165
2104.0,2.192175302477842,2.0375359902768015,-0.0133046485512303,-0.0009145167368245093,8.903912348761075,8.981232004861793,1.434437391833083,1.43750483113382,-0.0035246976691492016,-0.00045725836841215006,0.013406194663805743,0.016259640374037793
2105.0,2.192588748496781,2.037745623098257,-0.013346925503127428,-0.0009357012392237489,8.903705625751606,8.981127188451065,1.4344174934841316,1.4374942388826204,-0.003544596018100643,-0.0004678506196118537,0.01340678780204288,0.01626082665051208
2106.0,2.1929654738107156,2.037934395891914,-0.01338544767093198,-0.0009547777257794803,8.903517263094638,8.981032802054235,1.4343993626193414,1.4374847006393425,-0.003562726882890832,-0.00047738886288972715,0.01340732828001992,0.016261907606466147
2107.0,2.1933087406525384,2.038104384385975,-0.013420548610148896,-0.0009719559597758597,8.903345629673728,8.980947807807206,1.4343828421851181,1.4374761115223442,-0.0035792473171141204,-0.0004859779798880304,0.013407820772627144,0.016262892591680622
2108.0,2.1936215212990255,2.03825745775822,-0.013452532231675461,-0.000987424831487234,8.903189239350484,8.980871271121085,1.4343677890926394,1.4374683770864887,-0.0035943004095928544,-0.0004937124157435857,0.013408269539814333,0.016263790126054986
2109.0,2.1939065238670836,2.0383952991893115,-0.013481675438704741,-0.0010013544351981504,8.903046738066454,8.98080235040554,1.4343540729745454,1.4374614122846332,-0.0036080165276868303,-0.0005006772175990548,0.0134086784634085,0.01626460797324332
2110.0,2.194166215810909,2.0385194243708944,-0.01350823052869331,-0.0010138979395443984,8.902916892094542,8.980740287814749,1.434341575052594,1.43745514053246,-0.003620514449638179,-0.000506948969772214,0.013409051080667048,0.016265353207760416
2111.0,2.1944028453256585,2.038631198172,-0.013532427381389626,-0.0010251932717411814,8.902798577337167,8.980684400914194,1.4343301871063334,1.4374494928663617,-0.003631902395898834,-0.0005125966358705547,0.013409390614855118,0.016266032276136558
2112.0,2.1946184608447346,2.038731849647021,-0.013554475452032056,-0.0010353646342180355,8.90269076957763,8.980634075176683,1.4343198105337385,1.4374444071851233,-0.003642278968493784,-0.000517682317108914,0.013409700003110953,0.01626665105264824
2113.0,2.194814928800954,2.0388224855502806,-0.013574565587109514,-0.0010445238703372724,8.902592535599519,8.980588757225053,1.4343103554955836,1.4374398275670637,-0.0036517340066486437,-0.0005222619351685776,0.013409981921839467,0.016267214890105255
2114.0,2.194993949806595,2.038904102505799,-0.013592871678517584,-0.0010527716942132612,8.9025030250967,8.980547948747294,1.434301740136057,1.4374357036551255,-0.0036603493661753195,-0.0005263858471067362,0.013410238809853092,0.016267728666132505
2115.0,2.1951570733934,2.0389775979660802,-0.013609552170523797,-0.0010601987981555274,8.902421463303297,8.980511201017153,1.4342938898728033,1.4374319901031545,-0.003668199629428992,-0.0005300993990777769,0.013410472889459707,0.01626819682534572
2116.0,2.1953057114409797,2.039043780080417,-0.013624751432665056,-0.0010668868499130115,8.902347144279506,8.980478109959984,1.4342867367501906,1.4374286460772758,-0.0036753527520416718,-0.0005334434249564257,0.013410686185679407,0.016268623417785136
2117.0,2.1954411504105553,2.0391033765812265,-0.01363860101052582,-0.0010729093906850931,8.902279424794719,8.98044831170958,1.434280218850157,1.4374256348068897,-0.0036818706520751476,-0.0005364546953425808,0.013410880543756332,0.01626901213393897
2118.0,2.1955645624905027,2.039157042786126,-0.01365122076527718,-0.0010783326437738268,8.902217718754745,8.98042147860713,1.4342742797554986,1.4374229231803453,-0.0036878097467336612,-0.0005391663218869969,0.013411057645116353,0.016269366336659014
2119.0,2.1956770157506638,2.0392053688037484,-0.013662719911884603,-0.001083216242769254,8.902161492124664,8.980397315598317,1.4342688680609172,1.4374204813808475,-0.003693221441315009,-0.0005416081213847068,0.013411219021908838,0.016269689090243983
2120.0,2.1957794833937005,2.039248886022519,-0.013673197965007189,-0.0010876138872748524,8.902110258303145,8.980375556988932,1.4342639369275751,1.4374182825585948,-0.0036981525746571098,-0.000543806943637426,0.01341136607025778,0.016269983186941894
2121.0,2.1958728521839017,2.0392880729537572,-0.013682745600805832,-0.0010915739333834146,8.902063573908043,8.980355963523312,1.4342594436772713,1.4374163025355406,-0.0037026458249609373,-0.0005457869666916082,0.013411500062337017,0.01627025117110037
2122.0,2.195957930126662,2.0393233604933387,-0.013691445442144384,-0.0010951399253961783,8.902021034936663,8.980338319753521,1.4342553494227155,1.4374145195395343,-0.003706740079516768,-0.0005475699626980024,0.01341162215737357,0.016270495361173476
2123.0,2.1960354534653224,2.0393551366597893,-0.013699372774000473,-0.001098351074631941,8.901982273267333,8.980322431670295,1.43425161873068,1.4374129139649163,-0.0037104707715522878,-0.0005491755373159268,0.013411733411674537,0.01627071786977538
2124.0,2.196106093056119,2.0393837508609,-0.013706596195294875,-0.0011012426905910996,8.901946953471933,8.980308124569738,1.4342482193151025,1.4374114681569368,-0.003713870187129764,-0.0005506213452954878,0.013411834787763852,0.016270920621954024
2125.0,2.1961704601765644,2.0394095177357836,-0.013713178212794943,-0.0011038465692156552,8.901914769911711,8.980295241132296,1.4342451217574756,1.4374101662176244,-0.003716967744756605,-0.000551923284607847,0.013411927162708198,0.016271105371842717
2126.0,2.1962291118176545,2.039432720614616,-0.01371917578224379,-0.0011061913425144546,8.901885444091166,8.98028363969288,1.4342422992520898,1.437408993830975,-0.003719790250142463,-0.0005530956712571644,0.013412011335703716,0.016271273717833754
2127.0,2.196282555505812,2.0394536146341107,-0.013724640801408066,-0.0011083027933981152,8.901858722247086,8.980273192683134,1.434239727373923,1.4374079381055331,-0.003722362128309342,-0.0005541513966991207,0.013412088034989361,0.016271427116405057
2128.0,2.1963312536963846,2.039472429542975,-0.013729620559319249,-0.0011102041391855286,8.9018343731518,8.980263785228702,1.4342373838671572,1.4374069874326394,-0.0037247056350750984,-0.000555102069592861,0.013412157924146559,0.01627156689471944
2129.0,2.1963756277767814,2.0394893722282093,-0.013734158145602905,-0.001111916286899354,8.901812186111602,8.980255313886085,1.4342352484524927,1.4374061313587825,-0.0037268410497395266,-0.0005559581434497751,0.013412221607839545,0.01627169426210541
2130.0,2.196416061713963,2.0395046289900156,-0.01373829282344371,-0.0011134580631577092,8.90179196914301,8.980247685505182,1.4342333026515819,1.4374053604706534,-0.0037287868506503674,-0.0005567290315788842,0.013412279637046248,0.01627181032051883
2131.0,2.1964529053778907,2.0395183675903374,-0.01374206036941834,-0.001114846421189924,8.901773547311047,8.980240816205022,1.4342315296270651,1.4374046662916373,-0.0037305598751671276,-0.0005574232105949317,0.013412332513824732,0.01627191607407577
2132.0,2.196486477569744,2.0395307390975552,-0.013745493383140833,-0.001116096627252684,8.90175676121512,8.980234630451411,1.4342299140368189,1.437404041188606,-0.0037321754654133787,-0.0005580483136262693,0.013412380695656409,0.01627201243773914
2133.0,2.196517068781133,2.0395418795476195,-0.013748621569403055,-0.0011172224284963796,8.901741465609426,8.980229060226378,1.4342284419011526,1.437403478287984,-0.003733647601079637,-0.0005586112142481614,0.013412424599403894,0.01627210024523411
2134.0,2.1965449437082216,2.03955191143989,-0.013751471995254375,-0.0011182362041275012,8.901727528145882,8.980224044280243,1.4342271004818061,1.4374029714001686,-0.003734989020426127,-0.0005591181020636604,0.013412464604917254,0.01627218025626083
2135.0,2.1965703435425405,2.0395609450841277,-0.013754069324247276,-0.0011191491015292506,8.901714828228723,8.980219527458125,1.4342258781716934,1.4374025149514675,-0.003736211330538808,-0.0005595745507647187,0.013412501058320231,0.016272253163066783
2136.0,2.1965934880583187,2.0395690798134503,-0.013756436029877663,-0.001119971158837137,8.901703255970833,8.980215460093463,1.4342247643944435,1.4374021039228138,-0.0037373251077887915,-0.0005599855794184982,0.013412534275004662,0.016272319596435658
