index,year,primary deficit,debt,MPC,consumption,assets,assets_chg,debt_chg,foreign_capital,income,savings_rate,debt_to_earnings
16,2042.0,0.06,1.0244450265249787,0.75,1.0930182217443005,2.731666230106273,-0.7683337698937271,1.0244450265249787,0.7683337698937271,1.0676515463464262,-0.023759320617930752,0.9595312534606416
17,2043.0,0.06,1.093993987183642,0.75,1.0930182217443005,2.6795045096122756,-0.8204954903877244,1.093993987183642,0.8204954903877244,1.0666083119365461,-0.024760645039231168,1.0256754751867385
18,2044.0,0.06,1.164231551413183,0.75,1.0930182217443005,2.62682633644012,-0.8731736635598799,1.164231551413183,0.8731736635598799,1.0655547484731032,-0.025773873478159057,1.0926060374480802
19,2045.0,0.06,1.2351645370707394,0.75,1.0930182217443005,2.573626597196953,-0.9263734028030468,1.2351645370707394,0.9263734028030468,1.0644907536882398,-0.026799169421828237,1.1603337396695559
20,2046.0,0.06,1.3067998295169845,0.75,1.0930182217443005,2.51990012786227,-0.9800998721377301,1.3067998295169845,0.9800998721377301,1.0634162243015461,-0.027836699089481196,1.2288695617516021
21,2047.0,0.06,1.3791443822844793,0.75,1.0930182217443005,2.465641713286649,-1.034358286713351,1.3791443822844793,1.034358286713351,1.0623310560100336,-0.028886631488985716,1.2982246678020994
22,2048.0,0.06,1.4522052177526426,0.75,1.0930182217443005,2.4108460866855266,-1.0891539133144734,1.4522052177526426,1.0891539133144734,1.0612351434780112,-0.02994913847474548,1.368410409961826
23,2049.0,0.06,1.5259894278294015,0.75,1.0930182217443005,2.355507929127958,-1.144492070872042,1.5259894278294015,1.144492070872042,1.0601283803268597,-0.031024394807070588,1.4394383323262292
24,2050.0,0.06,1.6005041746395936,0.75,1.0930182217443005,2.2996218690203136,-1.2003781309796864,1.6005041746395936,1.2003781309796864,1.059010659124707,-0.03211257821304782,1.511320174966361
25,2051.0,0.052324243308779814,1.6757566912201838,0.75,1.0872614042258855,2.243182481584871,-1.256817518415129,1.6757566912201838,1.256817518415129,1.057881871375998,-0.02777203546523876,1.5840678780519317
26,2052.0,0.04534766445477968,1.7441545231221458,0.75,1.0820289700853853,2.1918841076584004,-1.3081158923415996,1.7441545231221458,1.3081158923415996,1.0568559038974688,-0.02381882534325017,1.6503238678897096
27,2053.0,0.03900657595183699,1.8063220574647212,0.75,1.0772731537081783,2.1452584569014688,-1.3547415430985312,1.8063220574647212,1.3547415430985312,1.05592339088233,-0.020219045254796807,1.7106563535403432
28,2054.0,0.03324309155015245,1.8628268065008442,0.75,1.0729505404069148,2.1028798951243766,-1.3971201048756234,1.8628268065008442,1.3971201048756234,1.0550758196467882,-0.01694164573510047,1.7655857255116223
29,2055.0,0.028004597806839168,1.9141845882980333,0.75,1.06902167009943,2.0643615587764854,-1.4356384412235146,1.9141845882980333,1.4356384412235146,1.0543054529198304,-0.013958210250021929,1.8155882462685018
30,2056.0,0.023243273790639573,1.9608642355156765,0.75,1.0654506770872803,2.0293518233632537,-1.4706481766367463,1.9608642355156765,1.4706481766367463,1.0536052582115658,-0.01124274844244927,1.8610995154334466
