index,fraction,debt,capital,income,year
143,0,2.039640378645471,10.0,0.02039663658951121,2169.0
144,0,2.039640609143547,10.0,0.020396615728853134,2170.0
145,0,2.039640816705347,10.0,0.02039659694398598,2171.0
146,0,2.039641003613201,10.0,0.020396580028353074,2172.0
147,0,2.0396411719223306,10.0,0.020396564795951692,2173.0
148,0,2.0396413234834476,10.0,0.02039655107928775,2174.0
149,0,2.0396414599631045,10.0,0.02039653872753408,2175.0
0,1,0.0,10.0,0.06,2026.0
1,1,0.0594059405940594,9.94059405940594,0.06000838260192932,2027.0
2,1,0.11886099185679015,9.88113900814321,0.0600337265694522,2028.0
3,1,0.17839876752785347,9.821601232472146,0.0600763601893551,2029.0
4,1,0.23805354981575452,9.761946450184245,0.06013665935622748,2030.0
5,1,0.2978603840365566,9.702139615963443,0.06021505064006233,2031.0
6,1,0.35785517937884564,9.642144820621155,0.060312014746785075,2032.0
7,1,0.4180748165763731,9.581925183423627,0.06042809041814223,2033.0
8,1,0.4785572633621776,9.521442736637823,0.060563878824490346,2034.0
9,1,0.5393416986844838,9.460658301315517,0.060720048512324244,2035.0
10,1,0.600468646787667,9.399531353212334,0.060897340978102156,2036.0
11,1,0.6619801224038749,9.338019877596125,0.0610965769513414,2037.0
12,1,0.723919788465883,9.276080211534117,0.06131866348341427,2038.0
13,1,0.7863331279434812,9.21366687205652,0.06156460195438341,2039.0
14,1,0.8492676316290237,9.150732368370976,0.061835497129094266,2040.0
15,1,0.9127730039586035,9.087226996041396,0.06213256741621706,2041.0
16,1,0.976901389260804,9.023098610739195,0.06245715651078804,2042.0
17,1,1.0417076211838088,8.958292378816191,0.06281074663300956,2043.0
18,1,1.1072494984744603,8.89275050152554,0.06319497361485027,2044.0
19,1,1.1735880907827054,8.826411909217295,0.06361164413286595,2045.0
20,1,1.2407880787577932,8.759211921242207,0.06406275544256838,2046.0
21,1,1.3089181334085622,8.691081866591437,0.06455051803904822,2047.0
22,1,1.3780513405438608,8.62194865945614,0.06507738175352826,2048.0
23,1,1.4482656771215965,8.551734322878403,0.06564606590008414,2049.0
24,1,1.519644547554957,8.480355452445043,0.06625959421608105,2050.0
25,1,1.5922773895011222,8.407722610498878,0.0594490554344216,2051.0
26,1,1.658862063358449,8.341137936641552,0.05323273646198959,2052.0
27,1,1.719962581345889,8.28003741865411,0.04755169104831244,2053.0
28,1,1.7760824885595106,8.22391751144049,0.042353730975977916,2054.0
29,1,1.8276723223775404,8.172327677622459,0.037592540279734146,2055.0
30,1,1.8751360356093998,8.1248639643906,0.03322691867402628,2056.0
31,1,1.9188365410593076,8.081163458940692,0.029220133770009767,2057.0
32,1,1.9591005094931302,8.04089949050687,0.025539365087774258,2058.0
33,1,1.9962225317184985,8.003777468281502,0.02215522569416288,2059.0
34,1,2.0304687378291484,7.969531262170852,0.019041349629415685,2060.0
35,1,2.06207995198406,7.93792004801594,0.016174035215381466,2061.0
36,1,2.0912744488659203,7.908725551134079,0.013531935936486938,2062.0
37,1,2.1182503677625073,7.881749632237493,0.011095791911070336,2063.0
38,1,2.1431878316871305,7.856812168312869,0.00884819607330454,2064.0
39,1,2.1662508118119863,7.833749188188014,0.006773390104185005,2065.0
40,1,2.1875887714944082,7.812411228505592,0.0048570859162015804,2066.0
41,1,2.207338119135929,7.79266188086407,0.0030863091367561903,2067.0
42,1,2.2256234948676847,7.774376505132315,0.0014492615717993339,2068.0
43,1,2.2425589124707974,7.757441087529203,-6.479991870069098e-05,2069.0
44,1,2.2582487749079903,7.74175122509201,-0.0014656703233483174,2070.0
45,1,2.2727887792725725,7.727211220727428,-0.0027622910309951215,2071.0
46,1,2.2862667247782884,7.713733275221712,-0.003962833633358148,2072.0
47,1,2.2987632355563696,7.70123676444363,-0.0050747743527912,2073.0
48,1,2.3103524084427884,7.689647591557211,-0.0061049602765065394,2074.0
49,1,2.321102394586271,7.678897605413729,-0.007059668414751655,2075.0
50,1,2.3310759225501543,7.668924077449846,-0.007944658461114595,2076.0
51,1,2.340330769588703,7.659669230411297,-0.008765220014380078,2077.0
52,1,2.3489201869259273,7.651079813074073,-0.009526214919958694,2078.0
53,1,2.3568932841311203,7.64310671586888,-0.010232115302166615,2079.0
54,1,2.3642953770526174,7.635704622947383,-0.010887037784285278,2080.0
55,1,2.3711683032246866,7.628831696775313,-0.01149477432949432,2081.0
56,1,2.377550708189426,7.6224492918105735,-0.012058820080858627,2082.0
57,1,2.383478305765405,7.616521694234595,-0.012582398531229114,2083.0
58,1,2.388984114938574,7.611015885061426,-0.013068484313064992,2084.0
59,1,2.3940986757409735,7.605901324259026,-0.013519823862854788,2085.0
60,1,2.398850246212604,7.601149753787396,-0.013938954184206005,2086.0
61,1,2.4032649823058287,7.596735017694171,-0.014328219907105342,2087.0
62,1,2.407367102385287,7.592632897614713,-0.014689788817759446,2088.0
63,1,2.411179037795403,7.588820962204597,-0.015025666013307487,2089.0
64,1,2.4147215708087537,7.585278429191247,-0.01533770681815106,2090.0
65,1,2.418013961128917,7.581986038871083,-0.015627628583307733,2091.0
66,1,2.421074061998373,7.5789259380016265,-0.015897021476769385,2092.0
67,1,2.42391842685345,7.57608157314655,-0.016147358361070126,2093.0
68,1,2.4265624073723258,7.573437592627674,-0.01638000384392606,2094.0
69,1,2.4290202436770727,7.570979756322927,-0.016596222578705404,2095.0
70,1,2.431305147375356,7.568694852624644,-0.01679718688346505,2096.0
71,1,2.433429378060366,7.5665706219396345,-0.016983983740203754,2097.0
72,1,2.435404313827944,7.564595686172056,-0.01715762122971729,2098.0
73,1,2.437240516316701,7.562759483683299,-0.017319034451888038,2099.0
74,1,2.438947790729419,7.561052209270581,-0.01746909097631555,2100.0
75,1,2.4405352412515997,7.5594647587484,-0.01760859586381471,2101.0
76,1,2.442011322244938,7.557988677755062,-0.01773829629540909,2102.0
