index,MPC,primary deficit,debt,consumption,capital,r,ANMP,income,year,debt_chg,consumption_chg,capital_chg,income_chg,wage_chg,cap_income_chg
120,0.5,-0.013771139445347816,2.1967372757990025,1.4342178449512304,8.901631362100495,0.01627273232396456,0.013412740638769127,1.5452057340661325,2146.0,2.1967372757990025,-0.003744244551001863,-1.0983686378995046,0.007243644563900364,-0.05402494879971587,0.06126859336361616
121,0.5,-0.013771990460507137,2.1967455980483237,1.4342174444635667,8.901627200975835,0.016272756212273018,0.013412752582923348,1.5452050020220252,2147.0,2.1967455980483237,-0.0037446450386655616,-1.0983727990241654,0.007242912519793032,-0.0540251622608446,0.06126807478063761
122,0.5,-0.013772765912697977,2.1967531813517236,1.4342170795359241,8.901623409324134,0.01627277797951633,0.013412763466545005,1.5452043349775413,2148.0,2.1967531813517236,-0.0037450099663081104,-1.0983765906758656,0.007242245475309161,-0.054025356768479874,0.061267602243789174
123,0.5,-0.013773472511306329,2.196760091321741,1.4342167470108418,8.901619954339125,0.016272797814025505,0.013412773383799592,1.5452037271611878,2149.0,2.196760091321741,-0.0037453424913904687,-1.0983800456608748,0.007241637658955691,-0.05402553400553079,0.0612671716644866
124,0.5,-0.0137741163699731,2.196766387744984,1.4342164440112213,8.901616806127505,0.01627281588740956,0.013412782420491626,1.5452031733139464,2150.0,2.196766387744984,-0.0037456454910109738,-1.098383193872495,0.007241083811714288,-0.054025695505477714,0.06126677931719206
125,0.5,-0.013774703059492898,2.1967721250994403,1.4342161679154315,8.901613937450277,0.016272832356040254,0.013412790654806966,1.5452026686437677,2151.0,2.1967721250994403,-0.00374592158680076,-1.0983860625497233,0.00724057914153553,-0.054025842665640755,0.0612664218071762
126,0.5,-0.013775237656015541,2.196777353025854,1.4342159163346244,8.901611323487069,0.01627284736240503,0.013412798157989347,1.5452022087841053,2152.0,2.196777353025854,-0.003746173167607836,-1.098388676512931,0.007240119281873181,-0.05402597675926944,0.061266096041142776
127,0.5,-0.013775724784967426,2.1967821167572437,1.4342156870920655,8.901608941621374,0.01627286103633971,0.0134128049949567,1.5452017897561348,2153.0,2.1967821167572437,-0.0037464024101667714,-1.0983910583786258,0.007239700253902637,-0.05402609894655928,0.06126579920046207
128,0.5,-0.013776168661072868,2.1967864575102802,1.434215478204298,8.901606771244856,0.016272873496151988,0.013412811224862833,1.5452014079343235,2154.0,2.1967864575102802,-0.003746611297934299,-1.0983932287551443,0.007239318432091357,-0.054026210284690214,0.061265528716781675
129,0.5,-0.0137765731248217,2.1967904128419127,1.434215287863982,8.90160479357904,0.016272884849644897,0.013412816901609281,1.5452010600150612,2155.0,2.1967904128419127,-0.0037468016382502523,-1.0983952064209603,0.007238970512829068,-0.05402631173697348,0.061265282249802426
